,content,engine,positions,pretty_url,pubdate,publishedDate,score,title,url,searchvalue,searchquery,ResponseCategory,country,publishedAt,contentDate
0,"In addition to lockdown efforts, the German government has imposed a number of other restrictions on movement, including closing borders ...",startpage,[1],https://www.dw.com/en/germany-reports-[...]mpose-coronavirus-lockdowns/a-52871927,2020-03-21 23:40:53,"Mar 21, 2020",1.0,Germany reports few violations as states impose coronavirus ...,https://www.dw.com/en/germany-reports-few-violations-as-states-impose-coronavirus-lockdowns/a-52871927,lockdown+imposes,germany+lockdown+imposes,lockdown,germany,2020-03-21 23:40:53,"In addition to lockdown efforts, the German government has imposed a number of other restrictions on movement, including closing borders"
1,"IDF brings 30 sailors back from Germany after country imposes lockdown. Navy troops, who had been preparing for acquisition of Sa'ar 6 ...",startpage,[2],https://www.timesofisrael.com/idf-brin[...]ermany-after-country-imposes-lockdown/,2020-03-22 23:40:53,"Mar 22, 2020",0.5,IDF brings 30 sailors back from Germany after country imposes ...,https://www.timesofisrael.com/idf-brings-30-sailors-back-from-germany-after-country-imposes-lockdown/,lockdown+imposes,germany+lockdown+imposes,lockdown,germany,2020-03-22 23:40:53,"IDF brings 30 sailors back from Germany after country imposes lockdown. Navy troops, who had been preparing for acquisition of Sa'ar 6"
2,5 days ago ...,startpage,[3],https://www.thelocal.de/20200320/bavar[...]-first-german-state-to-impose-lockdown,,,0.3333333333333333,UPDATE: Bavaria and Saarland become first German states to ...,https://www.thelocal.de/20200320/bavaria-becomes-first-german-state-to-impose-lockdown,lockdown+imposes,germany+lockdown+imposes,lockdown,germany,,2020-03-20
3,5 days ago ...,startpage,[4],https://www.independent.co.uk/news/wor[...]own-today-bavaria-latest-a9413746.html,,,0.25,Coronavirus: Germany introduces first lockdown as Bavaria imposes ...,https://www.independent.co.uk/news/world/europe/coronavirus-germany-update-lockdown-today-bavaria-latest-a9413746.html,lockdown+imposes,germany+lockdown+imposes,lockdown,germany,,2020-03-20
4,"Coronavirus: National shutdown looms in Germany as Bavaria imposes total lockdown. Jill Petzinger. Jill Petzinger, Germany Correspondent, ...",startpage,[5],https://uk.finance.yahoo.com/news/coro[...]-imposes-total-lockdown-125154692.html,2020-03-20 23:40:53,"Mar 20, 2020",0.2,Coronavirus: National shutdown looms in Germany as Bavaria ...,https://uk.finance.yahoo.com/news/coronavirus-national-shutdown-looms-in-germany-as-bavaria-imposes-total-lockdown-125154692.html,lockdown+imposes,germany+lockdown+imposes,lockdown,germany,2020-03-20 23:40:53,"Coronavirus: National shutdown looms in Germany as Bavaria imposes total lockdown. Jill Petzinger. Jill Petzinger, Germany Correspondent,"
5,France toughens its lockdown France has again tightened the rules ... Germany has responded to the rapid spread of the virus by imposing a ...,startpage,[6],https://www.ft.com/content/4ac1266a-436d-3128-b068-2d68ddc1485c,2020-03-24 23:40:53,"Mar 24, 2020",0.16666666666666666,Coronavirus: France's death toll tops 1000 – as it happened,https://www.ft.com/content/4ac1266a-436d-3128-b068-2d68ddc1485c,lockdown+imposes,germany+lockdown+imposes,lockdown,germany,2020-03-24 23:40:53,France toughens its lockdown France has again tightened the rules Germany has responded to the rapid spread of the virus by imposing a
6,"The small Bavarian town of Mitterteich, the first in Germany to go into total lockdown over the spiraling coronavirus outbreak.",startpage,[7],https://www.thejakartapost.com/news/20[...]n-germany-to-impose-full-lockdown.html,2020-03-19 23:40:53,"Mar 19, 2020",0.14285714285714285,Bavarian town is first in Germany to impose full lockdown - World ...,https://www.thejakartapost.com/news/2020/03/20/bavarian-town-is-first-in-germany-to-impose-full-lockdown.html,lockdown+imposes,germany+lockdown+imposes,lockdown,germany,2020-03-19 23:40:53,"The small Bavarian town of Mitterteich, the first in Germany to go into total lockdown over the spiraling coronavirus outbreak."
7,4 days ago ...,startpage,[8],https://www.express.co.uk/news/world/1[...]kdown-EU-Italy-Spain-BBC-Angela-Merkel,,,0.125,Germany's crisis lockdown: BBC claim Merkel will shut down EU's ...,https://www.express.co.uk/news/world/1258438/Germany-crisis-coronavirus-lockdown-EU-Italy-Spain-BBC-Angela-Merkel,lockdown+imposes,germany+lockdown+imposes,lockdown,germany,,2020-03-21
8,5 days ago ...,startpage,[9],https://www.iamexpat.de/expat-info/ger[...]ws/bavaria-imposes-state-wide-lockdown,,,0.1111111111111111,Bavaria imposes state-wide lockdown,https://www.iamexpat.de/expat-info/german-expat-news/bavaria-imposes-state-wide-lockdown,lockdown+imposes,germany+lockdown+imposes,lockdown,germany,,2020-03-20
9,1 day ago ...,startpage,[10],https://www.theguardian.com/world/live[...]cases-meetings-bans-update-latest-news,,,0.1,WHO warns global spread of virus is accelerating – as it happened,https://www.theguardian.com/world/live/2020/mar/23/coronavirus-live-updates-uk-us-italy-germany-europe-outbreak-cases-meetings-bans-update-latest-news,lockdown+imposes,germany+lockdown+imposes,lockdown,germany,,2020-03-24
