,content,engine,positions,pretty_url,pubdate,score,title,url,searchvalue,searchquery,ResponseCategory,country,contentDate,Date
0,... the government is reportedly considering imposing a full lockdown on elderly Israelis. The measure would forbid all men aged 70 and up and ...,startpage,[1],https://www.timesofisrael.com/israel-m[...]-home-instead-of-full-lockdown-report/,2020-03-24 01:26:28,1.0,Israel may order elderly into full lockdown -- report | The Times of Israel,https://www.timesofisrael.com/israel-may-order-just-elderly-to-stay-at-home-instead-of-full-lockdown-report/,lockdown+imposes,israel+lockdown+imposes,lockdown,israel,... the government is reportedly considering imposing a full lockdown on elderly Israelis. The measure would forbid all men aged 70 and up and,2020-03-24 01:26:28
1,IDF brings 30 sailors back from Germany after country imposes lockdown ... An Israeli Navy officer inspects the INS Dragon submarine currently ...,startpage,[2],https://www.timesofisrael.com/idf-brin[...]ermany-after-country-imposes-lockdown/,2020-03-23 01:26:28,0.5,IDF brings 30 sailors back from Germany after country imposes ...,https://www.timesofisrael.com/idf-brings-30-sailors-back-from-germany-after-country-imposes-lockdown/,lockdown+imposes,israel+lockdown+imposes,lockdown,israel,IDF brings 30 sailors back from Germany after country imposes lockdown An Israeli Navy officer inspects the INS Dragon submarine currently,2020-03-23 01:26:28
2,"Israeli archives remind us that the first Hebrew city has seen empty, ... when the British imposed martial law on the Jewish communities of ...",startpage,[3],https://www.haaretz.com/israel-news/.p[...]kdown-we-ve-seen-that-before-1.8707253,2020-03-25 01:26:28,0.3333333333333333,IN PHOTOS: Tel Aviv on lockdown? We've seen that before - Israel ...,https://www.haaretz.com/israel-news/.premium.MAGAZINE-in-photos-tel-aviv-in-lockdown-we-ve-seen-that-before-1.8707253,lockdown+imposes,israel+lockdown+imposes,lockdown,israel,"Israeli archives remind us that the first Hebrew city has seen empty, when the British imposed martial law on the Jewish communities of",2020-03-25 01:26:28
3,Health Ministry officials are seeking a complete shutdown for a period of one week to be imposed on the entire population after Israelis were ...,startpage,[4],https://www.ynetnews.com/article/ryZKS00II8,2020-03-24 01:26:28,0.25,Israel tightens coronavirus enforcement but no full lockdown yet,https://www.ynetnews.com/article/ryZKS00II8,lockdown+imposes,israel+lockdown+imposes,lockdown,israel,Health Ministry officials are seeking a complete shutdown for a period of one week to be imposed on the entire population after Israelis were,2020-03-24 01:26:28
4,"Israeli Prime Minister Benjamin Netanyahu on Thursday tightened a ... On Wednesday, Netanyahu threatened to impose lockdown orders, ...",startpage,[5],https://www.reuters.com/article/us-hea[...]home-in-partial-lockdown-idUSKBN21622D,2020-03-20 01:26:28,0.2,Israel orders citizens to stay home in partial lockdown - Reuters,https://www.reuters.com/article/us-health-coronavirus-israel/israel-orders-citizens-to-stay-home-in-partial-lockdown-idUSKBN21622D,lockdown+imposes,israel+lockdown+imposes,lockdown,israel,"Israeli Prime Minister Benjamin Netanyahu on Thursday tightened a On Wednesday, Netanyahu threatened to impose lockdown orders,",2020-03-20 01:26:28
5,Israelis were waiting on Tuesday night for the government to roll out the latest steps of its creeping lockdown in the coronavirus crisis. ... Belgium to Impose Coronavirus Lockdown From Wednesday · 31 Israelis in Serious ...,startpage,[6],https://hamodia.com/2020/03/24/israelis-wait-update-creeping-lockdown/,2020-03-25 01:26:28,0.16666666666666666,Israelis Wait for Update on Creeping Lockdown | Hamodia.com,https://hamodia.com/2020/03/24/israelis-wait-update-creeping-lockdown/,lockdown+imposes,israel+lockdown+imposes,lockdown,israel,Israelis were waiting on Tuesday night for the government to roll out the latest steps of its creeping lockdown in the coronavirus crisis. Belgium to Impose Coronavirus Lockdown From Wednesday · 31 Israelis in Serious,2020-03-25 01:26:28
6,JERUSALEM — Israel said Monday that it would mandate a two-week quarantine for anyone arriving on an international flight in a dramatic ...,startpage,[1],https://www.washingtonpost.com/world/m[...]61f6-11ea-8a8e-5c5336b32760_story.html,2020-03-09 00:00:00,1.0,Israel imposes quarantine for all arriving international travelers - The ...,https://www.washingtonpost.com/world/middle_east/israel-announces-that-anyone-coming-from-abroad-will-be-quarantined-for-14-days/2020/03/09/f133dd9a-61f6-11ea-8a8e-5c5336b32760_story.html,quarantin+impose,israel+quarantin+impose,lockdown,israel,JERUSALEM — Israel said Monday that it would mandate a two-week quarantine for anyone arriving on an international flight in a dramatic,2020-03-09 00:00:00
7,"Israel is imposing a 14-day quarantine on anyone who arrives from abroad, officials announced Monday.",startpage,[2],https://thehill.com/policy/healthcare/[...]14-day-quarantine-on-all-arrivals-from,2020-03-09 00:00:00,0.5,Israel imposing 14-day quarantine on all arrivals from abroad | TheHill,https://thehill.com/policy/healthcare/public-global-health/486667-israel-imposing-14-day-quarantine-on-all-arrivals-from,quarantin+impose,israel+quarantin+impose,lockdown,israel,"Israel is imposing a 14-day quarantine on anyone who arrives from abroad, officials announced Monday.",2020-03-09 00:00:00
8,"Israel will impose a two-week quarantine on all travellers entering the country, Prime Minister Benjamin Netanyahu said Monday, toughening ...",startpage,[3],https://www.france24.com/en/20200310-i[...]-for-all-everyone-entering-the-country,2020-03-10 00:00:00,0.3333333333333333,Israel announces two-week quarantine for everyone entering the ...,https://www.france24.com/en/20200310-israel-announces-two-week-quarantine-for-all-everyone-entering-the-country,quarantin+impose,israel+quarantin+impose,lockdown,israel,"Israel will impose a two-week quarantine on all travellers entering the country, Prime Minister Benjamin Netanyahu said Monday, toughening",2020-03-10 00:00:00
9,"Israelis returning from Egypt have been instructed to enter a 14-day home quarantine since their last day in the country, among rising ...",startpage,[4],https://www.timesofisrael.com/liveblog-march-9-2020/,2020-03-09 00:00:00,0.25,Report: Pence pushed Israel to quarantine all arrivals rather than ...,https://www.timesofisrael.com/liveblog-march-9-2020/,quarantin+impose,israel+quarantin+impose,lockdown,israel,"Israelis returning from Egypt have been instructed to enter a 14-day home quarantine since their last day in the country, among rising",2020-03-09 00:00:00
