,content,engine,positions,pretty_url,pubdate,score,title,url,searchvalue,searchquery,ResponseCategory,country,contentDate,Date
0,... the government is reportedly considering imposing a full lockdown on elderly Israelis. The measure would forbid all men aged 70 and up and ...,startpage,[1],https://www.timesofisrael.com/israel-m[...]-home-instead-of-full-lockdown-report/,2020-03-24 01:26:28,1.0,Israel may order elderly into full lockdown -- report | The Times of Israel,https://www.timesofisrael.com/israel-may-order-just-elderly-to-stay-at-home-instead-of-full-lockdown-report/,lockdown+imposes,israel+lockdown+imposes,lockdown,israel,... the government is reportedly considering imposing a full lockdown on elderly Israelis. The measure would forbid all men aged 70 and up and,2020-03-24 01:26:28
1,IDF brings 30 sailors back from Germany after country imposes lockdown ... An Israeli Navy officer inspects the INS Dragon submarine currently ...,startpage,[2],https://www.timesofisrael.com/idf-brin[...]ermany-after-country-imposes-lockdown/,2020-03-23 01:26:28,0.5,IDF brings 30 sailors back from Germany after country imposes ...,https://www.timesofisrael.com/idf-brings-30-sailors-back-from-germany-after-country-imposes-lockdown/,lockdown+imposes,israel+lockdown+imposes,lockdown,israel,IDF brings 30 sailors back from Germany after country imposes lockdown An Israeli Navy officer inspects the INS Dragon submarine currently,2020-03-23 01:26:28
2,"Israeli archives remind us that the first Hebrew city has seen empty, ... when the British imposed martial law on the Jewish communities of ...",startpage,[3],https://www.haaretz.com/israel-news/.p[...]kdown-we-ve-seen-that-before-1.8707253,2020-03-25 01:26:28,0.3333333333333333,IN PHOTOS: Tel Aviv on lockdown? We've seen that before - Israel ...,https://www.haaretz.com/israel-news/.premium.MAGAZINE-in-photos-tel-aviv-in-lockdown-we-ve-seen-that-before-1.8707253,lockdown+imposes,israel+lockdown+imposes,lockdown,israel,"Israeli archives remind us that the first Hebrew city has seen empty, when the British imposed martial law on the Jewish communities of",2020-03-25 01:26:28
3,Health Ministry officials are seeking a complete shutdown for a period of one week to be imposed on the entire population after Israelis were ...,startpage,[4],https://www.ynetnews.com/article/ryZKS00II8,2020-03-24 01:26:28,0.25,Israel tightens coronavirus enforcement but no full lockdown yet,https://www.ynetnews.com/article/ryZKS00II8,lockdown+imposes,israel+lockdown+imposes,lockdown,israel,Health Ministry officials are seeking a complete shutdown for a period of one week to be imposed on the entire population after Israelis were,2020-03-24 01:26:28
4,"Israeli Prime Minister Benjamin Netanyahu on Thursday tightened a ... On Wednesday, Netanyahu threatened to impose lockdown orders, ...",startpage,[5],https://www.reuters.com/article/us-hea[...]home-in-partial-lockdown-idUSKBN21622D,2020-03-20 01:26:28,0.2,Israel orders citizens to stay home in partial lockdown - Reuters,https://www.reuters.com/article/us-health-coronavirus-israel/israel-orders-citizens-to-stay-home-in-partial-lockdown-idUSKBN21622D,lockdown+imposes,israel+lockdown+imposes,lockdown,israel,"Israeli Prime Minister Benjamin Netanyahu on Thursday tightened a On Wednesday, Netanyahu threatened to impose lockdown orders,",2020-03-20 01:26:28
5,Israelis were waiting on Tuesday night for the government to roll out the latest steps of its creeping lockdown in the coronavirus crisis. ... Belgium to Impose Coronavirus Lockdown From Wednesday · 31 Israelis in Serious ...,startpage,[6],https://hamodia.com/2020/03/24/israelis-wait-update-creeping-lockdown/,2020-03-25 01:26:28,0.16666666666666666,Israelis Wait for Update on Creeping Lockdown | Hamodia.com,https://hamodia.com/2020/03/24/israelis-wait-update-creeping-lockdown/,lockdown+imposes,israel+lockdown+imposes,lockdown,israel,Israelis were waiting on Tuesday night for the government to roll out the latest steps of its creeping lockdown in the coronavirus crisis. Belgium to Impose Coronavirus Lockdown From Wednesday · 31 Israelis in Serious,2020-03-25 01:26:28
6,"Israel imposes near-lockdown to contain virus. By afp. Mar.17,2020. A health ministry directive orders people to stay at home unless going out to buy food or ...",startpage,[7],https://tribune.com.pk/story/2178190/3[...]ses-near-lockdown-contain-virus/?amp=1,,0.14285714285714285,Israel imposes near-lockdown to contain virus | The Express Tribune,https://tribune.com.pk/story/2178190/3-israel-imposes-near-lockdown-contain-virus/?amp=1,lockdown+imposes,israel+lockdown+imposes,lockdown,israel,"Israel imposes near-lockdown to contain virus. By afp. Mar.17,2020. A health ministry directive orders people to stay at home unless going out to buy food or",
7,"... a unique voice in international news with its focus on Israel and the Middle East as ... ""Unless we see an improvement, we will have to impose full lockdown"".",startpage,[8],https://www.i24news.tv/,,0.125,i24NEWS - Top stories,https://www.i24news.tv/,lockdown+imposes,israel+lockdown+imposes,lockdown,israel,"... a unique voice in international news with its focus on Israel and the Middle East as ""Unless we see an improvement, we will have to impose full lockdown"".",
8,The closure to begin Wednesday night and end Saturday night. Aness Suheil Barghoti | 19.03.2019. Israel imposes Palestine lockdown for Jewish holiday ...,startpage,[9],https://www.aa.com.tr/en/middle-east/i[...]ne-lockdown-for-jewish-holiday/1422533,,0.1111111111111111,Israel imposes Palestine lockdown for Jewish holiday,https://www.aa.com.tr/en/middle-east/israel-imposes-palestine-lockdown-for-jewish-holiday/1422533,lockdown+imposes,israel+lockdown+imposes,lockdown,israel,The closure to begin Wednesday night and end Saturday night. Aness Suheil Barghoti | 19.03.2019. Israel imposes Palestine lockdown for Jewish holiday,
9,"Israel seals off West Bank, Gaza for three days. Mohamed Sabry Emam Muhammed | 29.09.2019. Israel imposes Palestine lockdown for Jewish New Year ...",startpage,[10],https://www.aa.com.tr/en/middle-east/i[...]e-lockdown-for-jewish-new-year/1597161,,0.1,Israel imposes Palestine lockdown for Jewish New Year,https://www.aa.com.tr/en/middle-east/israel-imposes-palestine-lockdown-for-jewish-new-year/1597161,lockdown+imposes,israel+lockdown+imposes,lockdown,israel,"Israel seals off West Bank, Gaza for three days. Mohamed Sabry Emam Muhammed | 29.09.2019. Israel imposes Palestine lockdown for Jewish New Year",
