"Date","ISO","Country","Scale","Note"
16/02/2020,"CHN","China","Localized",
16/02/2020,"CHN","China, Hong Kong Special Administrative Region","Localized",
16/02/2020,"CHN","China, Macao Special Administrative Region","Localized",
17/02/2020,"CHN","China","Localized",
17/02/2020,"CHN","China, Hong Kong Special Administrative Region","Localized",
17/02/2020,"CHN","China, Macao Special Administrative Region","Localized",
18/02/2020,"CHN","China","Localized",
18/02/2020,"CHN","China, Hong Kong Special Administrative Region","Localized",
18/02/2020,"CHN","China, Macao Special Administrative Region","Localized",
19/02/2020,"CHN","China","Localized",
19/02/2020,"CHN","China, Hong Kong Special Administrative Region","Localized",
19/02/2020,"CHN","China, Macao Special Administrative Region","Localized",
19/02/2020,"MNG","Mongolia","National",
20/02/2020,"CHN","China","Localized",
20/02/2020,"CHN","China, Hong Kong Special Administrative Region","Localized",
20/02/2020,"CHN","China, Macao Special Administrative Region","Localized",
20/02/2020,"MNG","Mongolia","National",
21/02/2020,"CHN","China","National",
21/02/2020,"CHN","China, Hong Kong Special Administrative Region","Localized",
21/02/2020,"CHN","China, Macao Special Administrative Region","Localized",
21/02/2020,"MNG","Mongolia","National",
22/02/2020,"CHN","China","National",
22/02/2020,"CHN","China, Hong Kong Special Administrative Region","Localized",
22/02/2020,"CHN","China, Macao Special Administrative Region","Localized",
22/02/2020,"MNG","Mongolia","National",
23/02/2020,"CHN","China","National",
23/02/2020,"CHN","China, Hong Kong Special Administrative Region","Localized",
23/02/2020,"CHN","China, Macao Special Administrative Region","Localized",
23/02/2020,"MNG","Mongolia","National",
24/02/2020,"CHN","China","National",
24/02/2020,"CHN","China, Hong Kong Special Administrative Region","Localized",
24/02/2020,"CHN","China, Macao Special Administrative Region","Localized",
24/02/2020,"ITA","Italy","Localized",
24/02/2020,"MNG","Mongolia","National",
25/02/2020,"CHN","China","National",
25/02/2020,"CHN","China, Hong Kong Special Administrative Region","Localized",
25/02/2020,"CHN","China, Macao Special Administrative Region","Localized",
25/02/2020,"ITA","Italy","Localized",
25/02/2020,"MNG","Mongolia","National",
26/02/2020,"BHR","Bahrain","National",
26/02/2020,"CHN","China","National",
26/02/2020,"CHN","China, Hong Kong Special Administrative Region","Localized",
26/02/2020,"CHN","China, Macao Special Administrative Region","Localized",
26/02/2020,"IRN","Iran (Islamic Republic of)","National",
26/02/2020,"ITA","Italy","Localized",
26/02/2020,"MNG","Mongolia","National",
27/02/2020,"BHR","Bahrain","National",
27/02/2020,"CHN","China","National",
27/02/2020,"CHN","China, Hong Kong Special Administrative Region","National",
27/02/2020,"CHN","China, Macao Special Administrative Region","National",
27/02/2020,"IRN","Iran (Islamic Republic of)","National",
27/02/2020,"ITA","Italy","Localized",
27/02/2020,"MNG","Mongolia","National",
27/02/2020,"PAK","Pakistan","Localized",
28/02/2020,"BHR","Bahrain","National",
28/02/2020,"CHN","China","National",
28/02/2020,"CHN","China, Hong Kong Special Administrative Region","National",
28/02/2020,"CHN","China, Macao Special Administrative Region","National",
28/02/2020,"GBR","United Kingdom of Great Britain and Northern Ireland","Localized",
28/02/2020,"IRN","Iran (Islamic Republic of)","National",
28/02/2020,"IRQ","Iraq","Localized"," Universities on term break. Closures not related to COVID-19. "
28/02/2020,"ITA","Italy","Localized",
